game_id,home,away,timestamp,winner,loser
85b87457-2757-4ec4-8dd4-d79c6f855fd1,Kwetu,DB Nets,04-27-24,Kwetu,DB Nets
81a1db84-cf88-4191-978e-e62e52049eab,Huruma,Fam Kenya,04-06-24,Fam Kenya,Huruma
08f0ca91-b41c-46b5-b952-37da773a0fda,DB Nets,Pride Landers,04-21-24,DB Nets,Pride Landers
07efaafa-e0b7-44a4-8f0e-49c5b871688a,Teffad,Phenoms,04-28-24,Phenoms,Teffad
7ee82fa2-75a5-4720-87bb-168de93b9b6f,Vikapu,Kwetu,04-21-24,Vikapu,Kwetu
8e6e8f3e-85fe-4256-a400-844b13a5b130,DeeMentor,Huruma Dragons,04-28-24,Huruma Dragons,DeeMentor
a9b590e7-fb44-4f43-8f98-1e9638a0dc33,Bantu,Kibra,04-27-24,Kibra,Bantu
e81a9a10-738a-414b-b676-174428aa676f,Buruburu,Junubin,04-27-24,Buruburu,Junubin
baa28113-2459-4c88-b231-9004aae5304a,Saints,Fam Kenya,04-28-24,Fam Kenya,Saints
068dd289-f84f-48c3-86c7-5fe87f6943b3,E Nets,Bantu,04-21-24,E Nets,Bantu
a453cba0-3541-4d1e-a8fb-025955eb9cd4,Advance,Feba Nation,04-28-24,Feba Nation,Advance
1da7429a-2f9e-4713-8eec-ff9cf928194b,savio,Pride Landers,08-03-24,savio,Pride Landers
664d19aa-b63e-4cc7-b5e5-b6a7aebad0b2,Jericho,Huruma,03-31-24,Huruma,Jericho
9cd0e746-239d-4559-89fb-302d2f9131a7,Pride Landers,E Nets,04-27-24,E Nets,Pride Landers
da40a1b2-d99c-44ad-8a33-3d0353f31402,MooreWright,Leos,04-21-24,MooreWright,Leos
8599d7b3-bf33-4659-aef9-dd0227f2f56e,Fam Kenya,Huruma,03-09-24,Fam Kenya,Huruma
10ffac70-6831-45f2-a115-9fd21986a898,DeeMentor,Junubin,03-12-24,DeeMentor,Junubin
49bb67d4-89bf-433b-8bc3-0d132b7890cd,MooreWright,Kibra,04-20-24,Kibra,MooreWright
6d4c5c34-37a3-4b24-ae7a-8d4a5c6729a2,Jericho,Fam Kenya,04-20-24,Fam Kenya,Jericho
d2c9c1b6-bee2-4806-bb47-e363f7d05fc8,Junubin,Clique M,04-20-24,Clique M,Junubin
2bc9c906-4c65-4fb8-8b9a-867928ef9ed7,Rangers,savio,04-21-24,Rangers,savio
9e1b2dd4-46c8-45d2-af15-02ef27388ac0,MooreWright,Rangers,04-27-24,MooreWright,Rangers
197be673-8a15-4483-b386-5408e05165b5,clique,FEBA,03-10-24,FEBA,clique
78b8d878-303f-4721-b667-293b5709f59d,DB Nets,savio,05-05-24,DB Nets,savio
