team,total_free_throw_attempts,total_free_throw_made,total_two_point_attempts,total_two_point_made,total_three_point_made,total_three_point_attempts,total_assists,total_offensive_rebounds,total_defensive_rebounds,total_turnovers,total_points,game_id,timestamp
kibra,6.0,6.0,33.0,10.0,5.0,14.0,4.0,11.0,22.0,21.0,41.0,f4e4afb9-7c8e-4e6e-bf99-41fb03d3ee20,2024-09-27T18:15:18.746Z
saints,8.0,5.0,26.0,15.0,4.0,17.0,8.0,11.0,28.0,12.0,47.0,f4e4afb9-7c8e-4e6e-bf99-41fb03d3ee20,2024-09-27T18:15:18.746Z
fam kenya,12.0,10.0,23.0,17.0,2.0,9.0,3.0,6.0,21.0,19.0,50.0,6e9d15bc-97a3-4e0e-8b1d-e8f03d22b76d,2024-09-27T18:16:10.156Z
savio,3.0,5.0,27.0,16.0,2.0,17.0,7.0,16.0,20.0,17.0,43.0,6e9d15bc-97a3-4e0e-8b1d-e8f03d22b76d,2024-09-27T18:16:10.156Z
kibra,14.0,5.0,28.0,25.0,3.0,4.0,3.0,13.0,18.0,7.0,64.0,ac9f510c-419d-4194-97fc-929ac1f5384f,2024-09-15T13:13:38.633Z
vikapu,7.0,6.0,25.0,18.0,3.0,13.0,6.0,8.0,21.0,8.0,51.0,ac9f510c-419d-4194-97fc-929ac1f5384f,2024-09-15T13:13:38.633Z
deementor,7.0,6.0,21.0,25.0,4.0,21.0,11.0,15.0,20.0,5.0,68.0,e84670f3-9857-421e-a06d-3ef0989aee00,2024-09-15T08:20:49.013Z
jericho nets,3.0,0.0,19.0,10.0,4.0,13.0,7.0,7.0,14.0,7.0,32.0,e84670f3-9857-421e-a06d-3ef0989aee00,2024-09-15T08:20:49.013Z
buruburu,10.0,9.0,33.0,24.0,2.0,18.0,4.0,16.0,19.0,8.0,63.0,193b8ad1-20f3-458c-9731-8726b607f7a5,2024-09-15T14:56:32.672Z
saints,8.0,16.0,27.0,14.0,6.0,15.0,6.0,13.0,26.0,8.0,62.0,193b8ad1-20f3-458c-9731-8726b607f7a5,2024-09-15T14:56:32.672Z
old guards,11.0,9.0,26.0,24.0,9.0,28.0,15.0,17.0,32.0,9.0,84.0,966cbbee-a191-44d6-a0d8-6d24f2737fb0,2024-08-30T13:11:32.161Z
rising stars,3.0,7.0,21.0,28.0,6.0,33.0,14.0,9.0,28.0,11.0,81.0,966cbbee-a191-44d6-a0d8-6d24f2737fb0,2024-08-30T13:11:32.161Z
eastlands conference,2.0,3.0,21.0,24.0,4.0,19.0,8.0,12.0,23.0,8.0,63.0,178d54ef-7430-4b64-8d4e-45bb22a5d961,2024-08-30T13:07:43.477Z
uptown confrence,1.0,0.0,12.0,20.0,13.0,24.0,5.0,6.0,18.0,2.0,79.0,178d54ef-7430-4b64-8d4e-45bb22a5d961,2024-08-30T13:07:43.477Z
db nets,5.0,3.0,21.0,13.0,4.0,11.0,2.0,6.0,15.0,8.0,41.0,dff6e246-8140-426e-ac42-afcd77338794,2024-09-07T06:14:58.378Z
savio,3.0,4.0,15.0,26.0,3.0,16.0,9.0,7.0,23.0,8.0,65.0,dff6e246-8140-426e-ac42-afcd77338794,2024-09-07T06:14:58.378Z
fam kenya,8.0,14.0,22.0,24.0,2.0,13.0,5.0,8.0,38.0,8.0,68.0,2542d1bf-3ff4-478f-8730-5072615c1f6e,2024-09-07T06:17:01.502Z
huruma dragons,2.0,4.0,23.0,7.0,6.0,38.0,4.0,13.0,18.0,6.0,36.0,2542d1bf-3ff4-478f-8730-5072615c1f6e,2024-09-07T06:17:01.502Z
buruburu,8.0,5.0,21.0,14.0,2.0,11.0,0.0,9.0,12.0,9.0,39.0,0deb32b3-8a41-4762-8209-9f183cd89ff6,2024-09-07T06:22:29.097Z
clique mambas,3.0,9.0,18.0,20.0,1.0,11.0,4.0,6.0,19.0,6.0,52.0,0deb32b3-8a41-4762-8209-9f183cd89ff6,2024-09-07T06:22:29.097Z
feba nation,11.0,10.0,31.0,16.0,5.0,27.0,14.0,14.0,25.0,14.0,57.0,326b6de6-0299-4448-9caf-3c4d8aff5311,2024-08-21T09:28:31.458Z
jericho nets,9.0,10.0,24.0,21.0,4.0,6.0,14.0,10.0,29.0,17.0,64.0,326b6de6-0299-4448-9caf-3c4d8aff5311,2024-08-21T09:28:31.458Z
kwetu,10.0,5.0,21.0,21.0,7.0,17.0,10.0,15.0,13.0,8.0,68.0,b1f8ec3c-c517-4ac2-b0cc-610a6e27a1a2,2024-08-21T10:14:07.080Z
pride landers,4.0,7.0,21.0,20.0,1.0,9.0,9.0,9.0,19.0,10.0,50.0,b1f8ec3c-c517-4ac2-b0cc-610a6e27a1a2,2024-08-21T10:14:07.080Z
