team,total_free_throw_attempts,total_free_throw_made,total_two_point_attempts,total_two_point_made,total_three_point_made,total_three_point_attempts,total_assists,total_offensive_rebounds,total_defensive_rebounds,total_turnovers,total_points,game_id,timestamp
deementor,7.0,6.0,26.0,27.0,0.0,8.0,7.0,10.0,19.0,4.0,60.0,fd033afc-ba99-4d38-b612-c5bc01ae6902,2024-05-25T08:40:09.988Z
leos,5.0,4.0,14.0,10.0,2.0,11.0,1.0,7.0,6.0,5.0,30.0,77d0b684-470d-4c69-91c8-53f576400273,2024-05-25T08:41:45.352Z
pride landers,3.0,8.0,11.0,10.0,5.0,13.0,2.0,7.0,9.0,6.0,43.0,77d0b684-470d-4c69-91c8-53f576400273,2024-05-25T08:41:45.352Z
jericho nets,3.0,1.0,22.0,20.0,1.0,11.0,2.0,3.0,7.0,7.0,44.0,ec03d162-48ad-4724-a8f7-fa0904304092,2024-05-25T08:42:42.934Z
junubin,3.0,3.0,12.0,14.0,5.0,17.0,2.0,6.0,11.0,9.0,46.0,ec03d162-48ad-4724-a8f7-fa0904304092,2024-05-25T08:42:42.934Z
rangers,5.0,6.0,17.0,25.0,2.0,11.0,5.0,6.0,9.0,9.0,62.0,108ea8a5-31f9-4ea4-ba9f-df0e622b94f5,2024-06-08T13:51:59.251Z
vikapu,9.0,9.0,20.0,19.0,8.0,17.0,3.0,5.0,9.0,7.0,71.0,108ea8a5-31f9-4ea4-ba9f-df0e622b94f5,2024-06-08T13:51:59.251Z
kibra,9.0,9.0,30.0,21.0,7.0,14.0,4.0,13.0,25.0,19.0,72.0,f42e883d-c2f3-4b3c-88f0-38158e137986,2024-05-25T14:25:44.953Z
twende,8.0,11.0,21.0,18.0,12.0,27.0,2.0,8.0,19.0,8.0,83.0,f42e883d-c2f3-4b3c-88f0-38158e137986,2024-05-25T14:25:44.953Z
pride landers,8.0,11.0,16.0,12.0,9.0,12.0,1.0,3.0,12.0,12.0,62.0,71eff8d4-9e1f-44be-a8be-aebb2a5c51c9,2024-06-09T13:06:21.978Z
rangers,4.0,7.0,21.0,28.0,7.0,15.0,10.0,7.0,10.0,7.0,84.0,71eff8d4-9e1f-44be-a8be-aebb2a5c51c9,2024-06-09T13:06:21.978Z
clique mambas,7.0,16.0,24.0,12.0,6.0,13.0,4.0,2.0,14.0,9.0,58.0,446fcd55-3b76-4f3e-a1a6-b2677c3d5c64,2024-06-15T11:32:30.612Z
fam kenya,10.0,11.0,28.0,24.0,4.0,19.0,6.0,21.0,16.0,7.0,71.0,446fcd55-3b76-4f3e-a1a6-b2677c3d5c64,2024-06-15T11:32:30.612Z
fam kenya,8.0,5.0,10.0,10.0,8.0,20.0,5.0,3.0,13.0,12.0,49.0,df22ee6c-cc1f-421b-a2ec-f4a3d3956d57,2024-08-18T07:11:16.067Z
phenoms,7.0,8.0,24.0,16.0,14.0,26.0,8.0,14.0,9.0,9.0,82.0,df22ee6c-cc1f-421b-a2ec-f4a3d3956d57,2024-08-18T07:11:16.067Z
db nets,5.0,7.0,12.0,9.0,2.0,8.0,4.0,1.0,13.0,7.0,31.0,9a7f26b8-7e53-41ff-9c20-0b85e46624eb,2024-08-21T10:16:24.550Z
vikapu,2.0,3.0,19.0,18.0,4.0,12.0,4.0,12.0,11.0,10.0,51.0,9a7f26b8-7e53-41ff-9c20-0b85e46624eb,2024-08-21T10:16:24.550Z
savio,4.0,2.0,15.0,10.0,4.0,3.0,5.0,4.0,21.0,11.0,34.0,81a046bf-0dd7-4abc-9c7e-d31357738b5d,2024-07-14T11:15:34.278Z
vikapu,4.0,6.0,16.0,20.0,1.0,13.0,2.0,5.0,9.0,6.0,49.0,81a046bf-0dd7-4abc-9c7e-d31357738b5d,2024-07-14T11:15:34.278Z
feba nation,9.0,1.0,18.0,19.0,2.0,12.0,7.0,8.0,23.0,14.0,45.0,c35b5228-ed84-431c-996f-929611db9289,2024-07-13T08:19:05.664Z
phenoms,5.0,13.0,17.0,37.0,9.0,20.0,20.0,10.0,19.0,13.0,114.0,c35b5228-ed84-431c-996f-929611db9289,2024-07-13T08:19:05.664Z
clique mambas,9.0,10.0,22.0,18.0,2.0,14.0,2.0,7.0,21.0,14.0,52.0,185bd9f0-5c8c-4b62-9c11-a571e3341790,2024-06-29T07:02:50.317Z
teffad,10.0,8.0,27.0,14.0,7.0,13.0,6.0,1.0,14.0,5.0,57.0,185bd9f0-5c8c-4b62-9c11-a571e3341790,2024-06-29T07:02:50.317Z
huruma dragons,5.0,8.0,21.0,23.0,10.0,20.0,23.0,9.0,27.0,13.0,84.0,a437534d-292d-4cbf-a013-00b5d4537953,2024-08-18T07:02:42.654Z
jericho nets,2.0,18.0,31.0,20.0,2.0,13.0,9.0,10.0,19.0,8.0,64.0,a437534d-292d-4cbf-a013-00b5d4537953,2024-08-18T07:02:42.654Z
